reference	RNA_GMP_Ven_A	RNA_GMP_Ven_B	RNA_GMP_vehicle_A	RNA_GMP_vehicle_B	RNA_HSC_Ven_A	RNA_HSC_Ven_B	RNA_HSC_vehicle_A	RNA_HSC_vehicle_B
Slc13a2	114.0	79.0	66.0	81.0	15.0	10.0	78.0	12.0
Slc13a3	366.0	256.0	253.0	269.0	26.0	69.0	165.0	37.0
Slc13a4	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0
Slc13a5	59.0	31.0	17.0	32.0	19.0	9.0	20.0	0.0
Slc14a1	42.0	5.0	15.0	10.0	4.0	50.0	62.0	16.0
Slc14a2	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
Slc15a1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc15a2	3.0	0.0	0.0	4.0	1.0	1.0	6.0	2.0
Slc15a3	27.0	26.0	13.0	14.0	53.0	53.0	18.0	9.0
Slc15a4	1044.0	697.0	842.0	619.0	255.0	389.0	947.0	272.0
Slc15a5	0.0	1.0	0.0	1.0	0.0	1.0	0.0	3.0
Slc16a1	1680.0	1533.0	1606.0	1561.0	560.0	834.0	956.0	232.0
Slc16a10	1064.0	697.0	679.0	640.0	678.0	920.0	853.0	262.0
Slc16a11	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0
Slc16a12	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0
Slc16a13	154.0	128.0	169.0	86.0	79.0	62.0	155.0	60.0
Slc16a14	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Slc16a2	2.0	4.0	0.0	0.0	1.0	2.0	0.0	0.0
Slc16a3	4181.0	3464.0	3303.0	3306.0	607.0	359.0	1345.0	337.0
Slc16a4	2.0	0.0	1.0	1.0	5.0	11.0	1.0	0.0
Slc16a5	4.0	3.0	0.0	4.0	0.0	0.0	1.0	0.0
Slc16a6	1604.0	1205.0	1140.0	1043.0	450.0	614.0	967.0	286.0
Slc16a7	515.0	369.0	430.0	318.0	43.0	53.0	223.0	55.0
Slc16a8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc16a9	12.0	1.0	10.0	9.0	0.0	0.0	11.0	5.0
Slc17a1	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Slc17a2	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0
Slc17a3	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc17a4	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc17a5	768.0	627.0	576.0	583.0	118.0	193.0	467.0	121.0
Slc17a6	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0
Slc17a7	8.0	2.0	4.0	6.0	3.0	4.0	9.0	2.0
Slc17a8	2.0	4.0	1.0	1.0	0.0	1.0	1.0	0.0
Slc17a9	251.0	270.0	241.0	286.0	75.0	140.0	248.0	59.0
Slc18a1	1199.0	861.0	839.0	964.0	189.0	313.0	1062.0	274.0
Slc18a2	383.0	308.0	263.0	256.0	40.0	66.0	276.0	41.0
Slc18a3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Slc18b1	1.0	4.0	1.0	5.0	2.0	4.0	2.0	0.0
Slc19a1	1552.0	1358.0	1299.0	1244.0	203.0	129.0	618.0	142.0
Slc19a2	327.0	216.0	266.0	248.0	58.0	168.0	247.0	51.0
Slc19a3	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0
Slc1a1	1.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0
Slc1a2	3.0	8.0	2.0	13.0	4.0	19.0	31.0	9.0
Slc1a3	445.0	479.0	388.0	342.0	15.0	54.0	81.0	16.0
Slc1a4	44.0	21.0	33.0	44.0	2.0	4.0	4.0	0.0
Slc1a5	3957.0	3427.0	3405.0	3222.0	924.0	1883.0	2786.0	720.0
Slc1a6	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
Slc1a7	1.0	1.0	0.0	0.0	2.0	10.0	0.0	0.0
