Gene,Ribo_logFC,Ribo_padj,Input_logFC,Input_padj,TE_logFC,TE_padj,Group
Erbin,0.092269294,0.79788296,-1.580402929,0.000636048,1.742220548,0.002502294,Buffered (Special)
Ercc3,0.054889595,0.872355144,0.196791248,0.690038986,-0.028573066,0.970359236,No change
Ercc6,0.183323911,0.443989492,0.000178009,0.998764619,0.407974081,0.501659068,No change
Ercc6l,0.980200467,0.017076124,-0.056690628,0.921639182,0.988403543,0.092073144,No change
Erg,0.073590335,0.803695072,0.267327461,0.578713616,-0.019398005,0.979459854,No change
Ergic3,-0.097806109,0.750998737,0.288632206,0.565555365,-0.435938995,0.478416279,No change
Eri1,-0.069734885,0.80845525,-0.453818206,0.287834222,0.154605285,0.825214323,No change
Erlec1,-0.075374485,0.817371304,0.903671935,0.0500839,-1.086012593,0.058375057,No change
Erlin1,-0.098854534,0.749475517,-0.263576955,0.570774027,0.025278003,0.973538218,No change
Erlin2,-0.070362792,0.812545626,-0.409327717,0.34186329,0.146443155,0.833343044,No change
Ermp1,-0.143063276,0.577511402,-0.381814473,0.41033211,0.016168116,0.980862886,No change
Ern1,0.017285459,0.959774684,0.543456908,0.263181683,-0.39253053,0.52577896,No change
Ero1l,-0.289234708,0.325410169,-0.661261155,0.131296377,0.162744997,0.813933544,No change
Erp29,-0.057668727,0.881155589,1.691339088,0.000486621,-1.745028509,0.003798043,Buffered (Special)
Erp44,-0.149281545,0.593067064,-0.363570492,0.425089573,0.032407868,0.960104872,No change
Esd,0.03148563,0.922906549,0.226513988,0.655811558,-0.104044808,0.893290393,No change
Esf1,0.645245632,0.071571162,1.502072163,0.000506939,-0.51631739,0.353915683,No change
Espl1,1.396990985,0.001557108,0.025888336,0.970144819,1.212419443,0.054510568,No change
Esyt1,0.011033439,0.976698263,-1.49870133,0.000198177,1.512658567,0.001551882,Buffered (Special)
Etf1,0.112115971,0.717655179,0.35980875,0.400465908,-0.084758358,0.905698716,No change
Etfa,0.125756424,0.673936476,0.281057638,0.553098838,-0.023179244,0.977125607,No change
Etfb,-0.015932546,0.964242316,2.187398479,4.50E-05,-2.101028816,0.002544303,Buffered (Special)
Etfdh,0.065911698,0.84836683,-2.133189846,1.64E-05,2.31470838,0.000392999,Buffered (Special)
Etnk1,-0.029807518,0.92525908,0.641341647,0.190201437,-0.592502528,0.335720669,No change
Evi2a,-1.016304764,0.029198105,-0.663393673,0.116540269,-0.300418991,0.625921785,No change
Evl,0.017013024,0.959774684,-0.13457452,0.7991155,0.163243079,0.816043966,No change
Ewsr1,0.411645592,0.191019,0.223762767,0.632522615,0.259979389,0.674878676,No change
Exoc1,0.290968157,0.320366693,-0.65934564,0.131094238,1.242837326,0.021962733,No change
Exoc2,0.275830359,0.331936667,-0.76712564,0.107668715,1.351092122,0.034078233,No change
Exoc3,0.049740329,0.881155589,-0.207531572,0.669119727,0.322753501,0.59882811,No change
Exoc4,0.617357506,0.097389533,-0.436411015,0.338397067,1.23904617,0.039746228,No change
Exoc5,0.065598988,0.837972484,-0.193165793,0.688533172,0.351363525,0.564338063,No change
Exoc6,0.097936341,0.76885129,-0.438413717,0.316423605,0.625376064,0.246830613,No change
Exoc7,0.019107518,0.958677815,-0.395949034,0.367735539,0.423239853,0.45670572,No change
Exoc8,0.001486458,0.995774768,0.084057918,0.879075101,-0.061777198,0.938544648,No change
Exosc10,0.922693548,0.021004034,-1.295113061,0.00538512,2.457973103,0.000131181,Buffered
Exosc2,0.027757754,0.937605802,1.079497756,0.009662472,-0.879423192,0.100385376,No change
Exosc3,0.042117442,0.9099673,1.580677425,0.001106013,-1.283271793,0.039746228,Buffered (Special)
Exosc7,-0.023141226,0.954111488,0.718723711,0.111871432,-0.691147414,0.221078388,No change
Exosc8,0.037602592,0.918155,0.69243032,0.115569356,-0.513404395,0.375305096,No change
Exosc9,0.133603556,0.640742932,0.59496876,0.178791752,-0.230641383,0.724706621,No change
Ext2,-0.197353981,0.430190188,-1.167632296,0.012932584,0.419658552,0.49288807,No change
Eya1,0.004389935,0.989201745,0.114612089,0.829010377,-0.074864157,0.922507873,No change
Ezh2,0.178488841,0.552347488,0.587841292,0.176940853,-0.240531303,0.703167751,No change
Ezr,0.009673133,0.979339781,-0.525171473,0.200241271,0.511569377,0.346130654,No change
F10,-1.031756584,0.001636831,-0.478817955,0.307861339,-0.27299887,0.672795274,No change
F13a1,0.79048695,0.017621481,-0.33249977,0.456540257,1.145690644,0.039039799,Exclusive
F5,-0.354582602,0.241337265,-1.046296151,0.031952358,0.446656247,0.455632054,No change
Fabp5,0.052669193,0.890301162,1.197618439,0.021637743,-0.866449474,0.165638555,No change
Faf1,0.120588968,0.708333789,-0.631520175,0.133817258,0.868493141,0.085435787,No change
Faf2,-0.098920971,0.748834763,-0.388739554,0.403515635,0.137086939,0.848563717,No change
Faim,-0.081700545,0.78560131,1.047046544,0.025107871,-1.250935102,0.043881397,Buffered (Special)
Fam107b,-0.068862827,0.863189907,-0.682572011,0.095278584,0.514824514,0.316616083,No change
Fam111a,0.177252608,0.552347488,-0.228459903,0.617766383,0.527966337,0.312754846,No change
Fam114a2,-0.156123376,0.529676554,-0.000208257,0.998345865,-0.378548175,0.519964467,No change
Fam117a,-0.051621886,0.872355144,0.158460621,0.758019794,-0.261320082,0.69001398,No change
Fam120a,0.057278534,0.881155589,0.553512828,0.195799409,-0.381246637,0.501329712,No change
Fam129a,-0.121341159,0.61052531,-0.790982924,0.074701679,0.242882455,0.713659451,No change
Fam133b,-0.157327824,0.57045971,2.062472326,1.05E-06,-2.491887488,4.29E-06,Buffered (Special)
Fam13b,-0.046912926,0.895501645,-1.904625775,0.000181063,1.642487186,0.009882736,Buffered (Special)
Fam160b1,0.000391828,0.998705501,-0.44471349,0.338053211,0.386273961,0.526661959,No change
Fam172a,0.058663421,0.865231897,-0.330087128,0.464438189,0.475095869,0.40865014,No change
Fam192a,-0.029681299,0.929182509,0.533866182,0.224361929,-0.541110479,0.345134485,No change
Fam193a,0.433308594,0.191908353,0.268679152,0.587940585,0.252682114,0.693418614,No change
Fam32a,-0.218238202,0.423439564,0.44619705,0.309325606,-0.90663804,0.097907443,No change
Fam49b,0.003679119,0.990307971,0.14543634,0.762810645,-0.12443891,0.852455108,No change
Fam50a,0.040066141,0.916377672,0.271326517,0.579559951,-0.160027928,0.817947533,No change
Fam91a1,0.036903703,0.910941282,-0.231881453,0.64012666,0.287495835,0.65620473,No change
Fam98b,-0.026602877,0.937605802,3.069627256,1.51E-06,-3.097080221,0.000138211,Buffered (Special)
Fanca,0.169554718,0.509722991,0.068813774,0.911858951,0.230663088,0.736059515,No change
Fancd2,1.566657019,0.001424297,-0.164351608,0.757217581,1.688088863,0.016335387,Exclusive
Fanci,0.331988203,0.26080833,-1.358081632,0.009587494,2.122485837,0.002679176,Buffered (Special)
Far1,0.300319583,0.312147661,0.024512119,0.965091048,0.396424663,0.51441211,No change
Farsa,-0.081526891,0.811639727,-0.055868799,0.927036626,-0.097438797,0.895229813,No change
Farsb,0.351795001,0.251717288,-0.580447705,0.196656669,1.201617822,0.039130942,No change
Fasn,1.263538265,0.000526143,-0.507645534,0.286625372,1.869070524,0.00453752,Exclusive
Fau,-0.010606186,0.976138991,3.057480632,1.90E-08,-2.991326557,2.60E-05,Buffered (Special)
Fbh1,0.004921692,0.989201745,-1.367601234,0.001211401,1.333822442,0.01154722,Buffered (Special)
Fbl,0.007170549,0.9856216,1.360606341,0.008030879,-1.175691691,0.065735782,No change
Fbxo11,-0.006148771,0.984810293,0.657856499,0.166510107,-0.561469873,0.351577488,No change
Fbxo22,-0.027151389,0.941958692,-0.079325843,0.880508428,0.020927266,0.977565955,No change
Fbxo3,-0.090438075,0.784685419,-0.335921641,0.452703518,0.140892617,0.837508448,No change
Fbxo30,-0.027713397,0.9306495,-0.500225877,0.265611051,0.354373597,0.559112864,No change
Fbxo38,0.029221445,0.940757404,-0.65411007,0.142562643,0.688266127,0.21074369,No change
Fbxo5,0.029131984,0.928405884,0.257638934,0.573152161,-0.131310669,0.850728315,No change
Fbxw11,0.013447519,0.96763269,-0.173704579,0.731737061,0.191992358,0.781622225,No change
Fbxw8,0.076269156,0.804897362,-0.512109105,0.245291216,0.711013255,0.206268773,No change
Fcgr2b,-0.141448136,0.617863854,-0.13013096,0.789987531,-0.151757439,0.823853329,No change
Fcgr3,-0.154777104,0.572769274,-0.883680194,0.064325896,0.393167876,0.51971788,No change
Fcho1,-0.029402455,0.925702459,-0.857514902,0.036320399,0.668077819,0.213092178,No change
Fcho2,-0.100769619,0.751389027,-0.393985474,0.409651886,0.163159164,0.819195156,No change
Fcnb,-0.126178976,0.638622005,0.129652818,0.81847275,-0.293809826,0.645974728,No change
Fech,0.063753059,0.845518384,-0.374028816,0.396800165,0.539587693,0.340884925,No change
Fem1c,0.06458973,0.840461071,-0.300530844,0.525517285,0.455928436,0.440991488,No change
Fermt3,0.087686503,0.80845525,-1.434056378,0.000755084,1.61206933,0.001923245,Buffered (Special)
Fes,0.053541383,0.892230122,-0.066107096,0.899615679,0.170514113,0.790381325,No change
Fgd3,-0.218433909,0.42119751,0.341515691,0.457129669,-0.788155563,0.14366945,No change
Fgd4,-0.016284602,0.963216471,0.084967753,0.880260916,-0.097110466,0.89701639,No change
Fgfr1op,0.080821673,0.79861047,0.420875819,0.347054234,-0.146241724,0.837440988,No change
Fgfr1op2,-0.052967977,0.875864861,0.077315092,0.885194273,-0.188345929,0.780604694,No change
Fgl2,-0.550449461,0.141824138,-1.649446441,0.000244761,0.432329049,0.472894226,No change
Fh1,0.036407215,0.919631956,-0.291611923,0.553309472,0.33321742,0.58998968,No change
Fig4,0.14219,0.629244099,-1.821424711,0.001289937,2.143782437,0.003686736,Buffered (Special)
Fignl1,0.165337982,0.569739917,-0.044511004,0.941577544,0.307201462,0.61401648,No change
Fip1l1,0.034738356,0.92525908,-0.069154375,0.896124868,0.138037927,0.836203433,No change
Fis1,-0.230405663,0.341936866,1.990576829,5.05E-05,-2.776904731,7.81E-05,Buffered (Special)
Fkbp15,-0.02380294,0.952119893,-0.238606946,0.610693998,0.183096398,0.781879853,No change
Fkbp2,-0.306005358,0.300249542,1.841897081,0.001140601,-2.406638242,0.001566673,Buffered (Special)
Fkbp3,0.067890862,0.860555821,0.165579933,0.762955452,-0.044347937,0.956722337,No change
Fkbp4,0.0197201,0.959774684,0.391602451,0.40335469,-0.315339889,0.6118397,No change
Fkbp5,-0.000566283,0.997523871,-0.790588454,0.056890919,0.742678818,0.156545246,No change
Fkbp8,-0.073455656,0.834361544,0.339865968,0.479423049,-0.444515348,0.458966374,No change
Fli1,-0.244062648,0.3930109,0.009530675,0.983535665,-0.422763062,0.446418714,No change
Flii,0.025094602,0.948809323,-1.561825141,0.000271916,1.574006432,0.00550123,Buffered (Special)
Flna,1.354486568,2.79E-05,-0.384151424,0.380264719,1.763077323,0.001625049,Exclusive
Flnb,0.104231211,0.323921494,-1.03281671,0.031826438,2.582049929,0.001075846,Buffered (Special)
Flot1,-0.999241001,0.009145477,-0.324981961,0.490623449,-0.468444946,0.43338253,No change
Flot2,-0.357553764,0.245831024,-0.906189801,0.028298176,0.289120816,0.62608294,No change
Flt3,-0.187322553,0.478138818,-0.121824498,0.8124174,-0.231293156,0.727998891,No change
Fmnl1,-0.081025023,0.826965134,-0.878749277,0.031842985,0.695200555,0.158724285,No change
Fmnl3,0.030623414,0.9306495,-1.262523685,0.008425165,1.298332955,0.030026848,Buffered (Special)
Fmo5,-0.205224288,0.418557234,-1.946460988,0.000183746,1.063132843,0.097549863,No change
Fmr1,0.1303641,0.664878384,0.114986828,0.836791677,0.104013971,0.891646169,No change
Fn1,1.328925015,0.051575524,0.314122619,0.524661606,1.031327899,0.112665918,No change
Fnbp1,0.041416037,0.914348922,0.006862004,0.992202265,0.084102918,0.911412908,No change
Fnbp1l,-0.038691111,0.917556984,0.47444813,0.266045695,-0.519812224,0.326911853,No change
Fnbp4,0.265336855,0.357612965,0.164845971,0.751502686,0.204773481,0.76539851,No change
Fndc3a,0.061249122,0.865849473,-0.380428959,0.414319992,0.489975107,0.407304644,No change
Fndc3b,0.222904915,0.437334568,0.159064517,0.759321643,0.177667999,0.794305073,No change
Fnip1,-0.33533677,0.273475584,0.112977225,0.827413401,-0.594397156,0.291127388,No change
Fosl2,-0.037132523,0.913305533,1.021530208,0.033018336,-0.986385614,0.111821136,No change
Foxm1,0.111587507,0.684999815,0.097819085,0.855335506,0.177409875,0.79573143,No change
Foxn2,0.040880162,0.907485585,0.87528613,0.053040773,-0.577809745,0.326911853,No change
Foxp1,-0.043476076,0.895501645,0.849725144,0.043195462,-0.912841431,0.10372712,No change
Foxred1,0.05355321,0.868914704,-0.372029193,0.394940879,0.487820918,0.39310771,No change
Frg1,-0.024887929,0.952119893,1.276134297,0.004888049,-1.264914405,0.024963909,Buffered (Special)
Frrs1,-0.065012193,0.834951138,0.117723603,0.815237653,-0.283823101,0.639657908,No change
Frs2,0.048577249,0.878493875,0.232280064,0.648950695,-0.07376976,0.924618269,No change
Fry,0.278228236,0.312792347,0.482448257,0.301088887,0.059161141,0.939158591,No change
Fryl,0.720536727,0.038221971,0.457154865,0.315260089,0.20050386,0.764759704,No change
Fth1,0.02185061,0.956719748,-0.626827788,0.166679353,0.611610008,0.291127388,No change
Ftsj3,0.853179881,0.012027087,-0.227980046,0.638940477,1.090444522,0.049571121,Exclusive
Fubp1,0.194814167,0.503867371,0.49551846,0.231083362,-0.16390727,0.79507708,No change
Fubp3,0.052963187,0.871223085,0.36143426,0.444761917,-0.153953465,0.827745217,No change
